epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,759.813,1.9631,3.3204,1.15595,0.85125,0.70126,0.75516,0.34707,1.82273,2.07566,1.14121,0.000664277,0.000664277,0.000664277
2,1491.76,1.81548,1.52117,1.14053,0.85822,0.73283,0.78878,0.38336,1.75356,1.25551,1.12307,0.00128702,0.00128702,0.00128702
3,2140.66,1.76875,1.21868,1.1222,0.81719,0.68881,0.7127,0.3147,1.89665,1.23485,1.17491,0.00186577,0.00186577,0.00186577
4,2965.54,1.69,1.05317,1.10412,0.85121,0.77123,0.76719,0.39794,1.62846,1.03424,1.08133,0.001802,0.001802,0.001802
5,5178.68,1.67402,0.9912,1.08925,0.87129,0.79796,0.80577,0.39167,1.70701,0.99044,1.10516,0.001736,0.001736,0.001736
6,6034.47,1.63549,0.97862,1.06859,0.9145,0.84748,0.875,0.42805,1.6325,0.85399,1.07337,0.00167,0.00167,0.00167
7,6689.44,1.57681,0.89083,1.06039,0.90033,0.83648,0.85693,0.43824,1.61379,0.91177,1.05957,0.001604,0.001604,0.001604
8,7704.79,1.55911,0.87492,1.04587,0.94679,0.83939,0.88267,0.48502,1.54688,0.79664,1.03801,0.001538,0.001538,0.001538
9,8539.95,1.52809,0.84447,1.04322,0.89352,0.87745,0.84943,0.46581,1.50466,0.74946,1.02544,0.001472,0.001472,0.001472
10,9431.8,1.54369,0.82362,1.04081,0.93563,0.89858,0.91962,0.49811,1.53995,0.75737,1.02508,0.001406,0.001406,0.001406
11,10103.4,1.48568,0.81102,1.01544,0.90478,0.85909,0.86501,0.38084,1.72317,0.86215,1.08038,0.00134,0.00134,0.00134
12,10845.4,1.47061,0.78172,1.01766,0.94453,0.8923,0.91318,0.52967,1.44859,0.70786,0.99788,0.001274,0.001274,0.001274
13,11668.8,1.45375,0.76702,1.00227,0.92206,0.89308,0.9017,0.4899,1.54001,0.77972,1.02528,0.001208,0.001208,0.001208
14,12504.2,1.45075,0.76425,1.00441,0.93777,0.90031,0.91976,0.48564,1.49911,0.75876,1.01403,0.001142,0.001142,0.001142
15,13189.6,1.41219,0.74612,0.99628,0.92642,0.88096,0.90299,0.52357,1.45635,0.72759,0.99815,0.001076,0.001076,0.001076
16,13864,1.40462,0.73102,0.99084,0.94483,0.90202,0.92258,0.50778,1.49158,0.70247,1.00142,0.00101,0.00101,0.00101
17,14512.5,1.38665,0.72305,0.98822,0.93916,0.91012,0.92096,0.52023,1.46564,0.67094,0.99431,0.000944,0.000944,0.000944
18,15264.5,1.40343,0.71678,0.98689,0.91765,0.8923,0.8939,0.51327,1.45591,0.75272,0.99453,0.000878,0.000878,0.000878
19,15929.2,1.3672,0.69474,0.97696,0.93624,0.92217,0.92058,0.53415,1.44095,0.68573,0.9887,0.000812,0.000812,0.000812
20,16623.4,1.35082,0.68507,0.97296,0.91995,0.88538,0.88867,0.52572,1.43104,0.69024,0.98221,0.000746,0.000746,0.000746
21,17222.5,1.30155,0.63723,0.99299,0.93878,0.90408,0.91325,0.53726,1.40298,0.67975,0.97598,0.00068,0.00068,0.00068
22,17753.3,1.28517,0.62684,0.99209,0.93549,0.91038,0.91781,0.5454,1.41033,0.65617,0.9741,0.000614,0.000614,0.000614
23,18402.1,1.26849,0.61052,0.98424,0.93524,0.90832,0.92132,0.55946,1.35804,0.6529,0.96947,0.000548,0.000548,0.000548
24,19046.2,1.24263,0.59503,0.98053,0.93019,0.90092,0.90816,0.54235,1.38071,0.64589,0.96971,0.000482,0.000482,0.000482
25,19754.8,1.24558,0.58738,0.97706,0.94544,0.92641,0.92731,0.54682,1.39114,0.65038,0.96862,0.000416,0.000416,0.000416
26,20328.9,1.22233,0.57698,0.9725,0.94088,0.92588,0.92619,0.55324,1.37123,0.62074,0.96693,0.00035,0.00035,0.00035
27,20959.8,1.22018,0.57097,0.96242,0.93893,0.92531,0.92182,0.56859,1.3427,0.61512,0.95962,0.000284,0.000284,0.000284
28,21601.4,1.19851,0.55801,0.96236,0.9496,0.9331,0.93445,0.56723,1.34779,0.61587,0.95819,0.000218,0.000218,0.000218
29,22136.3,1.20106,0.5586,0.95291,0.94176,0.92796,0.92568,0.55951,1.35041,0.60336,0.96188,0.000152,0.000152,0.000152
30,22804.6,1.18567,0.53691,0.95361,0.94441,0.92767,0.92876,0.57021,1.33962,0.60442,0.95685,8.6e-05,8.6e-05,8.6e-05
